[20/06/2020|06:21:30] Claudio_Olivares (Aimbot): 989A9C9E84EC5CDEA905A9DC9D884A959EDE49D
[21/06/2020|14:59:31] Justin_Estrada (SPAM): CEC8DDE0F98EE85F44E8D04EC54A0998C4D0CA8D
[22/06/2020|00:58:24] Blaz_Gunther (Andate): E0A0CC85ECF8AC4985A8FCF4ECF98888A5FDC9CF
[22/06/2020|20:18:25] Juan_Sif (Uso de cheats): 5D9588F85C0ADFD4DC8F049C8EEC8804EE889D4D
[22/06/2020|21:08:23] Juan_Jimenes (speedhack, te quedas sin internet): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[23/06/2020|07:40:18] Kitsune_Uzumaki (spam): FC0EED854F895C58548D0DE94DE8DECDC88EA88A
[24/06/2020|03:43:24] Camilo_Osborn (Andate): DDCC4DEEA8CEC45DCEED00ECA8AEEFC5CECAADEE
[24/06/2020|22:16:49] Danny_Buestan (cheater (aimbot)): D4F9DD94E404E9EFF4ECDE49CCEDACCADED8E490
[25/06/2020|02:31:27] Lucas_Rechi (BA /dormir en conquista): D08A4ECFEEFD84DFCAC8D4E9AAAEE89DD4488404
[25/06/2020|02:31:35] Brian_Rechi (BA /dormir en conquista): CFCEAEE5CE94DAC4ADD5DEC8D8C88C5EC5E5C8ED
[25/06/2020|02:55:10] Torvald_Shostakov (DM en trabajo): C44CDD0459D48945FFDE9C900D904C9DCD50948E
[25/06/2020|02:56:07] Zurdo_Castano (DM en durante el trabajo): CAA48E08DEC044E5FE90F9F89AA99FC4CDEDFAE
[25/06/2020|03:45:09] Said_Poppa (andate): EAC90E44E88CCADFCCE4585CDE4EA9CF5DFED0CD
[25/06/2020|10:56:24] Ton_Hdz (Uso de cheats): 44355A5834564C393054584655524D4F52584B41
[25/06/2020|16:38:16] Valentino_Traiger (Uso de Cheats.): 995E5CD8CADCD88FCAE89EDCACA00DADDC4E49C4
[25/06/2020|22:47:35] Bryan_Scott (Aimbot.): ADF0E99FE54C9FDD9AD9D09F8FCAD0EE80ACA88
[26/06/2020|19:11:11] Tato_Telapone (Mud, ya avisamos que si es aproposito era ban): CAA48E08DEC044E5FE90F9F89AA99FC4CDEDFAE
[26/06/2020|19:12:51] Ronaldo_Bahia (Uso de aimbot): D88C5FD590D9889884C9A8E4DDAE8DDDFCDC4044
[27/06/2020|03:33:37] Safe_Burgos (Multicuentas (superar límite de 5 cuentas)): E459DEEA9EE88AFC0DC885EF09D4CDC089EDF4C8
[27/06/2020|03:37:45] Alejo_Pavon (Multicuentas.): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[27/06/2020|03:40:46] Brian_Rossi (Multicuentas): ADF0E99FE54C9FDD9AD9D09F8FCAD0EE80ACA88
